total,locked,free,currency,account_id,account_type,base_currency,margins,reported,info
23883.98639090,418.08900105,23465.89738985,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '418.08900105', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23862.10457509,0.00000000,23862.10457509,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23857.33255584,417.55168455,23439.78087129,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '417.55168455', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23635.77062725,0.00000000,23635.77062725,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23631.04295521,413.67130350,23217.37165171,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '413.67130350', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24259.87244471,0.00000000,24259.87244471,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24255.02013991,424.57667000,23830.44346991,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '424.57667000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24043.29321807,0.00000000,24043.29321807,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24038.48470313,420.74505760,23617.73964553,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.74505760', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24095.67537795,0.00000000,24095.67537795,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24090.85657337,421.64540040,23669.21117297,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '421.64540040', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23696.27396561,0.00000000,23696.27396561,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23691.53402883,414.74446860,23276.78956023,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '414.74446860', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23880.36809069,0.00000000,23880.36809069,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23875.59156055,417.94638690,23457.64517365,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '417.94638690', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24611.70599544,0.00000000,24611.70599544,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24606.78306936,430.75603200,24176.02703736,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '430.75603200', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24789.00324059,0.00000000,24789.00324059,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24784.04490936,433.85398245,24350.19092691,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '433.85398245', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24397.80040363,0.00000000,24397.80040363,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24392.92028683,427.01022000,23965.91006683,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '427.01022000', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24230.45922763,0.00000000,24230.45922763,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24225.61315611,424.03125765,23801.58189846,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '424.03125765', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
24051.61962065,0.00000000,24051.61962065,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
24046.80975163,420.86353925,23625.94621238,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '420.86353925', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23641.69962653,0.00000000,23641.69962653,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23636.97171131,413.69258175,23223.27912956,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '413.69258175', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23578.91688385,0.00000000,23578.91688385,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23574.20053604,412.68043320,23161.52010284,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '412.68043320', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
23872.94128254,0.00000000,23872.94128254,USDT,BINANCE-001,MARGIN,USDT,[],False,{}
23868.16638294,417.80371500,23450.36266794,USDT,BINANCE-001,MARGIN,USDT,"[{'type': 'MarginBalance', 'initial': '0.00000000', 'maintenance': '417.80371500', 'currency': 'USDT', 'instrument_id': 'ETHUSDT-PERP.BINANCE'}]",False,{}
